State,County_Name,2005_Poverty_All_Ages,2005_Poverty_Percent_All_Ages,2005_Poverty_Under18,2005_Poverty_Percent_Under18,2005_Median_HH_Income
TX,Navarro County,"9,421",20.1,"3,766",30.1,"34,508"
TX,Newton County,"3,089",22.6,"1,053",32.1,"32,319"
TX,Nolan County,"3,121",21.8,"1,233",31.9,"30,872"
TX,Nueces County,"62,156",19.9,"25,032",29.2,"38,740"
TX,Ochiltree County,"1,235",13.3,524,19.2,"41,835"
TX,Oldham County,256,13.9,124,25.7,"36,521"
TX,Orange County,"13,170",15.7,"4,546",21.4,"38,856"
TX,Palo Pinto County,"4,515",16.7,"1,703",25.5,"34,580"
TX,Panola County,"3,555",15.8,"1,169",21.4,"36,640"
TX,Parker County,"9,424",9.5,"3,086",12.5,"53,170"
TX,Parmer County,"1,442",15,599,20,"32,416"
TX,Pecos County,"3,221",23.5,"1,200",31.6,"30,806"
TX,Polk County,"8,258",19.1,"3,451",35.2,"32,971"
TX,Potter County,"23,443",21.1,"10,259",30.3,"30,316"
TX,Presidio County,"2,385",31.3,987,41.6,"23,452"
TX,Rains County,"1,810",16.2,581,25.5,"36,398"
TX,Randall County,"8,878",8.2,"2,671",10,"47,356"
TX,Reagan County,397,13.5,146,16.4,"40,234"
TX,Real County,667,22.6,260,41.6,"27,863"
TX,Red River County,"2,494",18.8,888,29.7,"31,994"
TX,Reeves County,"3,060",29.3,"1,155",36.8,"25,043"
TX,Refugio County,"1,278",17.1,447,24.9,"32,715"
TX,Roberts County,60,7.3,16,10.1,"54,091"
TX,Robertson County,"3,275",20.7,"1,261",29.2,"32,984"
TX,Rockwall County,"3,116",5,"1,200",7.2,"73,987"
TX,Runnels County,"2,261",21.2,809,29,"30,070"
TX,Rusk County,"6,946",15.5,"2,387",21.8,"37,514"
TX,Sabine County,"1,802",17.5,615,29.5,"27,144"
TX,San Augustine County,"2,035",23.9,698,36,"29,129"
TX,San Jacinto County,"5,009",20.4,"1,816",32,"33,578"
TX,San Patricio County,"11,369",16.8,"4,841",24.1,"37,918"
TX,San Saba County,"1,068",19.4,494,37,"31,761"
TX,Schleicher County,448,16.6,146,21.5,"36,340"
TX,Scurry County,"2,626",18.1,969,25,"36,835"
TX,Shackelford County,419,13.5,142,19.5,"36,215"
TX,Shelby County,"5,263",20.3,"1,887",27.8,"31,272"
TX,Sherman County,478,16.4,206,24.1,"36,390"
TX,Smith County,"29,739",16.1,"11,413",23.5,"39,267"
TX,Somervell County,792,10.7,307,16.6,"44,334"
TX,Starr County,"27,574",45.7,"12,264",55.5,"17,843"
TX,Stephens County,"1,747",19.9,709,32.4,"31,767"
TX,Sterling County,179,14,59,19.1,"39,095"
TX,Stonewall County,250,18.8,80,28.4,"32,628"
TX,Sutton County,604,14.5,210,18.6,"42,812"
TX,Swisher County,"1,443",20.2,626,30.1,"31,941"
TX,Tarrant County,"212,969",13.4,"82,686",18.5,"49,167"
TX,Taylor County,"21,859",18.5,"8,310",25.7,"35,473"
TX,Terrell County,198,19.9,56,28.2,"27,927"
TX,Terry County,"2,751",24.2,"1,151",34.5,"30,253"
TX,Throckmorton County,234,14.7,73,22.1,"30,680"
TX,Titus County,"5,085",17.7,"2,145",24.2,"36,347"
TX,Tom Green County,"16,993",17.2,"6,048",23.4,"37,203"
TX,Travis County,"133,414",15.5,"43,499",20.3,"48,199"
TX,Trinity County,"2,952",20.9,"1,043",34.1,"29,975"
TX,Tyler County,"3,725",19.6,"1,276",29.1,"32,030"
TX,Upshur County,"6,119",16.4,"2,176",24,"35,807"
TX,Upton County,557,18.5,194,24.9,"34,253"
TX,Uvalde County,"6,761",25.8,"3,119",39.1,"28,859"
TX,Val Verde County,"12,123",26,"5,296",36.4,"31,375"
TX,Van Zandt County,"9,028",17.6,"3,264",26.6,"37,629"
TX,Victoria County,"12,806",15.3,"5,114",22,"37,231"
TX,Walker County,"10,065",22.6,"2,313",22.6,"35,064"
TX,Waller County,"5,885",18.7,"1,910",22.5,"40,921"
TX,Ward County,"1,867",19,683,26.5,"33,494"
TX,Washington County,"4,767",16.1,"1,531",20.9,"39,842"
TX,Webb County,"67,930",30.8,"33,122",40.3,"31,339"
